x,activation
-2.423711855927964010e+01,-7.199999999999999734e-01
-2.420710355177588724e+01,-7.199999999999999734e-01
-2.417708854427213794e+01,-7.199999999999999734e-01
-2.414707353676838508e+01,-7.199999999999999734e-01
-2.411705852926463223e+01,-7.199999999999999734e-01
-2.408704352176087937e+01,-7.199999999999999734e-01
-2.405702851425712652e+01,-7.199999999999999734e-01
-2.402701350675337721e+01,-7.199999999999999734e-01
-2.399699849924962436e+01,-7.199999999999999734e-01
-2.396698349174587150e+01,-7.199999999999999734e-01
-2.393696848424212220e+01,-7.199999999999999734e-01
-2.390695347673836935e+01,-7.199999999999999734e-01
-2.387693846923461649e+01,-7.199999999999999734e-01
-2.384692346173086719e+01,-7.199999999999999734e-01
-2.381690845422711433e+01,-7.199999999999999734e-01
-2.378689344672336148e+01,-7.199999999999999734e-01
-2.375687843921960862e+01,-7.199999999999999734e-01
-2.372686343171585577e+01,-7.199999999999999734e-01
-2.369684842421210647e+01,-7.199999999999999734e-01
-2.366683341670835361e+01,-7.199999999999999734e-01
-2.363681840920460075e+01,-7.199999999999999734e-01
-2.360680340170085145e+01,-7.199999999999999734e-01
-2.357678839419709860e+01,-7.199999999999999734e-01
-2.354677338669334574e+01,-7.199999999999999734e-01
-2.351675837918959644e+01,-7.199999999999999734e-01
-2.348674337168584358e+01,-7.199999999999999734e-01
-2.345672836418209073e+01,-7.199999999999999734e-01
-2.342671335667833787e+01,-7.199999999999999734e-01
-2.339669834917458502e+01,-7.199999999999999734e-01
-2.336668334167083572e+01,-7.199999999999999734e-01
-2.333666833416708286e+01,-7.199999999999999734e-01
-2.330665332666333001e+01,-7.199999999999999734e-01
-2.327663831915958070e+01,-7.199999999999999734e-01
-2.324662331165582785e+01,-7.199999999999999734e-01
-2.321660830415207499e+01,-7.199999999999999734e-01
-2.318659329664832569e+01,-7.199999999999999734e-01
-2.315657828914457284e+01,-7.199999999999999734e-01
-2.312656328164081998e+01,-7.199999999999999734e-01
-2.309654827413706712e+01,-7.199999999999999734e-01
-2.306653326663331427e+01,-7.199999999999999734e-01
-2.303651825912956497e+01,-7.199999999999999734e-01
-2.300650325162581211e+01,-7.199999999999999734e-01
-2.297648824412205926e+01,-7.199999999999999734e-01
-2.294647323661830995e+01,-7.199999999999999734e-01
-2.291645822911455710e+01,-7.199999999999999734e-01
-2.288644322161080424e+01,-7.199999999999999734e-01
-2.285642821410705494e+01,-7.199999999999999734e-01
-2.282641320660330209e+01,-7.199999999999999734e-01
-2.279639819909954923e+01,-7.199999999999999734e-01
-2.276638319159579638e+01,-7.199999999999999734e-01
-2.273636818409204707e+01,-7.199999999999999734e-01
-2.270635317658829422e+01,-7.199999999999999734e-01
-2.267633816908454136e+01,-7.199999999999999734e-01
-2.264632316158078851e+01,-7.199999999999999734e-01
-2.261630815407703921e+01,-7.199999999999999734e-01
-2.258629314657328635e+01,-7.199999999999999734e-01
-2.255627813906953349e+01,-7.199999999999999734e-01
-2.252626313156578419e+01,-7.199999999999999734e-01
-2.249624812406203134e+01,-7.199999999999999734e-01
-2.246623311655827848e+01,-7.199999999999999734e-01
-2.243621810905452918e+01,-7.199999999999999734e-01
-2.240620310155077632e+01,-7.199999999999999734e-01
-2.237618809404702347e+01,-7.199999999999999734e-01
-2.234617308654327061e+01,-7.199999999999999734e-01
-2.231615807903951776e+01,-7.199999999999999734e-01
-2.228614307153576846e+01,-7.199999999999999734e-01
-2.225612806403201560e+01,-7.199999999999999734e-01
-2.222611305652826275e+01,-7.199999999999999734e-01
-2.219609804902451344e+01,-7.199999999999999734e-01
-2.216608304152076059e+01,-7.199999999999999734e-01
-2.213606803401700773e+01,-7.199999999999999734e-01
-2.210605302651325843e+01,-7.199999999999999734e-01
-2.207603801900950558e+01,-7.199999999999999734e-01
-2.204602301150575272e+01,-7.199999999999999734e-01
-2.201600800400199986e+01,-7.199999999999999734e-01
-2.198599299649824701e+01,-7.191595797898947540e-01
-2.195597798899449771e+01,-7.173586793396697914e-01
-2.192596298149074485e+01,-7.155577788894446067e-01
-2.189594797398699200e+01,-7.137568784392195331e-01
-2.186593296648324269e+01,-7.119559779889944595e-01
-2.183591795897948984e+01,-7.101550775387693859e-01
-2.180590295147573698e+01,-7.083541770885442013e-01
-2.177588794397198768e+01,-7.065532766383192387e-01
-2.174587293646823127e+01,-7.047523761880938320e-01
-2.171585792896448197e+01,-7.029514757378688694e-01
-2.168584292146073267e+01,-7.011505752876437958e-01
-2.165582791395697626e+01,-6.993496748374185001e-01
-2.162581290645322696e+01,-6.975487743871935375e-01
-2.159579789894947410e+01,-6.957478739369683529e-01
-2.156578289144572125e+01,-6.939469734867431683e-01
-2.153576788394197195e+01,-6.921460730365182057e-01
-2.150575287643821909e+01,-6.903451725862930211e-01
-2.147573786893446623e+01,-6.885442721360678364e-01
-2.144572286143071693e+01,-6.867433716858429849e-01
-2.141570785392696408e+01,-6.849424712356178002e-01
-2.138569284642321122e+01,-6.831415707853926156e-01
-2.135567783891946192e+01,-6.813406703351675420e-01
-2.132566283141570551e+01,-6.795397698849422463e-01
-2.129564782391195621e+01,-6.777388694347172837e-01
-2.126563281640820335e+01,-6.759379689844920991e-01
-2.123561780890445050e+01,-6.741370685342669145e-01
-2.120560280140070120e+01,-6.723361680840419519e-01
-2.117558779389694834e+01,-6.705352676338167672e-01
-2.114557278639319549e+01,-6.687343671835915826e-01
-2.111555777888944618e+01,-6.669334667333666200e-01
-2.108554277138569333e+01,-6.651325662831415464e-01
-2.105552776388194047e+01,-6.633316658329163618e-01
-2.102551275637819117e+01,-6.615307653826912881e-01
-2.099549774887443476e+01,-6.597298649324659925e-01
-2.096548274137068546e+01,-6.579289644822410299e-01
-2.093546773386693260e+01,-6.561280640320159563e-01
-2.090545272636317975e+01,-6.543271635817908827e-01
-2.087543771885943045e+01,-6.525262631315659201e-01
